year,state,abbreviation,population,total_cases,total_cases_pre_million
2020,California,CA,39512223,113006,2860.026377
2020,Texas,TX,28995881,64880,2237.55919
2020,Florida,FL,21477737,55735,2595.012687
2020,New York,NY,19453561,375157,19284.74689
2020,Pennsylvania,PA,12801989,76344,5963.448336
2020,Illinois,IL,12671821,121234,9567.212163
2020,Ohio,OH,11689100,35984,3078.423489
2020,Georgia,GA,10617423,46501,4379.68799
2020,North Carolina,NC,10488084,29461,2808.997334
2020,Michigan,MI,9986857,99002,9913.228957
2020,New Jersey,NJ,8882190,161293,18159.14769
2020,Virginia,VA,8535519,46239,5417.245278
2020,Washington,WA,7614893,21995,2888.418787
2020,Arizona,AZ,7278717,20123,2764.635581
2020,Massachusetts,MA,6892503,97291,14115.48171
2020,Tennessee,TN,6829174,23274,3408.025627
2020,Indiana,IN,6732219,34830,5173.628487
2020,Missouri,MO,6137428,14360,2339.742316
2020,Maryland,MD,6045680,53327,8820.678567
2020,Wisconsin,WI,5822434,18543,3184.75057
2020,Colorado,CO,5758736,26920,4674.636934
2020,Minnesota,MN,5639632,25208,4469.795192
2020,South Carolina,SC,5148714,12420,2412.252846
2020,Alabama,AL,4903185,18496,3772.24192
2020,Louisiana,LA,4648794,40452,8701.611644
2020,Kentucky,KY,4467673,10513,2353.126561
2020,Oregon,OR,4217737,4302,1019.978249
2020,Oklahoma,OK,3956971,7493,1893.620145
2020,Connecticut,CT,3565287,42740,11987.81473
2020,Utah,UT,3205958,10101,3150.696297
2020,Iowa,IA,3155070,19698,6243.284618
2020,Nevada,NV,3080156,8688,2820.636357
2020,Arkansas,AR,3017804,7443,2466.362958
2020,Mississippi,MS,2976149,17823,5988.611457
2020,Kansas,KS,2913314,10011,3436.292827
2020,New Mexico,NM,2096829,7800,3719.902767
2020,Nebraska,NE,1934408,14338,7412.086799
2020,West Virginia,WV,1792147,2028,1131.603602
2020,Idaho,ID,1787065,2906,1626.129995
2020,Hawaii,HI,1415872,645,455.5496542
2020,New Hampshire,NH,1359711,4685,3445.585128
2020,Maine,ME,1344212,2344,1743.77256
2020,Montana,MT,1068778,523,489.3439049
2020,Rhode Island,RI,1059361,14087,13297.63886
2020,Delaware,DE,973764,9622,9881.244326
2020,South Dakota,SD,884659,5034,5690.328138
2020,North Dakota,ND,762062,2625,3444.60162
2020,Alaska,AK,731545,470,642.4758559
2020,District Of Columbia,DC,705749,8857,12549.78753
2020,Vermont,VT,623989,907,1453.551265
2020,Wyoming,WY,578759,910,1572.329761
2021,California,CA,39512223,3685455,93273.7953
2021,Texas,TX,28995881,2944003,101531.7658
2021,Florida,FL,21477737,2285781,106425.5978
2021,New York,NY,19453561,2101102,108006.0355
2021,Pennsylvania,PA,12801989,1208585,94406.03331
2021,Illinois,IL,12671821,1382587,109107.2072
2021,Ohio,OH,11689100,1102556,94323.42952
2021,Georgia,GA,10617423,1124080,105871.2646
2021,North Carolina,NC,10488084,991150,94502.48492
2021,Michigan,MI,9986857,997299,99861.14751
2021,New Jersey,NJ,8882190,1016490,114441.3709
2021,Virginia,VA,8535519,675783,79173.0415
2021,Washington,WA,7614893,436100,57269.35362
2021,Arizona,AZ,7278717,881454,121100.1884
2021,Massachusetts,MA,6892503,707131,102594.2245
2021,Tennessee,TN,6829174,859167,125808.3335
2021,Indiana,IN,6732219,744213,110544.9778
2021,Missouri,MO,6137428,600195,97792.59325
2021,Maryland,MD,6045680,459995,76086.56098
2021,Wisconsin,WI,5822434,674480,115841.5879
2021,Colorado,CO,5758736,549713,95457.23228
2021,Minnesota,MN,5639632,601517,106658.9097
2021,South Carolina,SC,5148714,593335,115239.4559
2021,Alabama,AL,4903185,543446,110835.304
2021,Louisiana,LA,4648794,471663,101459.2172
2021,Kentucky,KY,4467673,456531,102185.4106
2021,Oregon,OR,4217737,201649,47809.76149
2021,Oklahoma,OK,3956971,453284,114553.2783
2021,Connecticut,CT,3565287,347563,97485.27959
2021,Utah,UT,3205958,406282,126727.1748
2021,Iowa,IA,3155070,371473,117738.4337
2021,Nevada,NV,3080156,324262,105274.538
2021,Arkansas,AR,3017804,341450,113145.1877
2021,Mississippi,MS,2976149,318311,106953.9865
2021,Kansas,KS,2913314,314417,107924.1716
2021,New Mexico,NM,2096829,203151,96884.86758
2021,Nebraska,NE,1934408,223568,115574.3773
2021,West Virginia,WV,1792147,161858,90315.13598
2021,Idaho,ID,1787065,192305,107609.4042
2021,Hawaii,HI,1415872,35090,24783.31375
2021,New Hampshire,NH,1359711,98767,72638.22974
2021,Maine,ME,1344212,67871,50491.29155
2021,Montana,MT,1068778,111844,104646.6151
2021,Rhode Island,RI,1059361,144122,136046.1637
2021,Delaware,DE,973764,107247,110136.5423
2021,South Dakota,SD,884659,124209,140403.2514
2021,North Dakota,ND,762062,110003,144349.1474
2021,Alaska,AK,731545,67507,92280.03745
2021,District Of Columbia,DC,705749,49000,69429.78311
2021,Vermont,VT,623989,22673,36335.57643
2021,Wyoming,WY,578759,60364,104299.026
2022,California,CA,39512223,9602503,243026.139
2022,Texas,TX,28995881,6863419,236703.2407
2022,Florida,FL,21477737,6182927,287876.0923
2022,New York,NY,19453561,2934011,150821.2815
2022,Pennsylvania,PA,12801989,5436944,424695.2563
2022,Illinois,IL,12671821,3306763,260954.0491
2022,Ohio,OH,11689100,2763123,236384.5805
2022,Georgia,GA,10617423,2571104,242158.9495
2022,North Carolina,NC,10488084,2778661,264935.0444
2022,Michigan,MI,9986857,2547366,255071.8409
2022,New Jersey,NJ,8882190,2398157,269996.1383
2022,Virginia,VA,8535519,1793644,210138.8328
2022,Washington,WA,7614893,1583029,207885.9151
2022,Arizona,AZ,7278717,2062669,283383.5963
2022,Massachusetts,MA,6892503,1873034,271749.4646
2022,Tennessee,TN,6829174,2065160,302402.6039
2022,Indiana,IN,6732219,1735581,257802.2194
2022,Missouri,MO,6137428,1453570,236836.9943
2022,Maryland,MD,6045680,1093441,180863.1949
2022,Wisconsin,WI,5822434,1677361,288085.8761
2022,Colorado,CO,5758736,1461784,253837.6477
2022,Minnesota,MN,5639632,1508948,267561.4295
2022,South Carolina,SC,5148714,1507217,292736.594
2022,Alabama,AL,4903185,1317127,268626.8211
2022,Louisiana,LA,4648794,1193425,256717.1185
2022,Kentucky,KY,4467673,1360729,304572.2012
2022,Oregon,OR,4217737,767286,181918.8821
2022,Oklahoma,OK,3956971,1052091,265882.919
2022,Connecticut,CT,3565287,810190,227243.9778
2022,Utah,UT,3205958,948979,296004.8135
2022,Iowa,IA,3155070,780447,247362.816
2022,Nevada,NV,3080156,742260,240981.3009
2022,Arkansas,AR,3017804,843828,279616.5689
2022,Mississippi,MS,2976149,808888,271790.1557
2022,Kansas,KS,2913314,789127,270869.1888
2022,New Mexico,NM,2096829,536571,255896.4036
2022,Nebraska,NE,1934408,488110,252330.4287
2022,West Virginia,WV,1792147,516553,288231.3783
2022,Idaho,ID,1787065,452085,252976.2488
2022,Hawaii,HI,1415872,275631,194672.2585
2022,New Hampshire,NH,1359711,325833,239634.0105
2022,Maine,ME,1344212,263713,196184.0841
2022,Montana,MT,1068778,277497,259639.5135
2022,Rhode Island,RI,1059361,374061,353100.5955
2022,Delaware,DE,973764,276879,284338.9158
2022,South Dakota,SD,884659,240357,271694.5173
2022,North Dakota,ND,762062,244938,321414.793
2022,Alaska,AK,731545,253184,346094.9087
2022,District Of Columbia,DC,705749,150495,213241.5349
2022,Vermont,VT,623989,123223,197476.2376
2022,Wyoming,WY,578759,158472,273813.4526